V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,,,,,,
2.968968517,2.947735992,1.140631321,1.098830652,3.434234481,4.862354445,1.409935612,2.723738943,1.220622861,3.133522361,0.845540279,1.043058764,4.99384416,1.125877674,1.805707036,,,,,,
1.131526087,3.810973286,1.46019112,4.011989061,1.347996324,1.258990456,2.168210416,1.749262734,1.524632544,1.856432816,0.976812406,2.270087789,1.264178474,1.333021493,2.834780902,,,,,,
1.4392771,4.600547888,2.444372979,1.360792476,1.484540901,2.33661611,2.249529483,1.17428918,1.504704586,1.173348337,1.662394114,1.435231862,1.141453543,2.177786189,2.395643252,,,,,,
1.163863842,1.143632673,1.707970122,2.487348114,1.386354104,0.897302876,1.883947573,1.912403928,1.704406225,1.708895147,2.137033043,3.192644156,1.848877011,1.497145512,0.357686235,,,,,,
4.099190846,1.833480081,1.899050662,1.949317141,1.543503722,0.837364735,2.104317407,0.823512283,1.993531706,3.378362991,2.584171761,3.742934397,0.735649343,1.404765191,1.995123459,,,,,,
1.129055196,0.861503842,0.990272101,1.319598007,3.729098238,1.954297968,2.420596759,2.519221535,1.774010486,2.538849768,1.385295484,1.963211861,1.425398461,2.442206715,3.080297035,,,,,,
0.58062195,1.851216292,1.612456805,2.584029907,0.883900844,1.311295927,1.388241272,1.281500426,1.969454041,1.602869943,3.448991828,1.651851206,2.706424611,0.976648479,2.993542957,,,,,,
1.514115779,2.138988514,1.532841199,0.717649406,2.561758203,1.206322808,2.930189324,1.116357078,1.936334236,1.991259082,1.9727269,1.883185495,1.607709024,0.871679798,3.283029639,,,,,,
2.499336392,1.456226544,4.950905008,0.974497266,0.84791092,1.110876816,2.767739717,2.698617004,2.306454735,0.580004189,1.562596648,1.753394198,3.556327911,2.855865712,2.310441514,,,,,,
2.86450664,1.450356416,1.79946975,2.37782646,2.126876918,2.292434162,2.16162951,0.939934773,4.027530843,2.611473617,0.866581072,1.896685749,1.712954164,0.659108318,0.996184479,,,,,,
