"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,7,8,26,40,102,297,590,1083,1528,1768,1424,861,508,259,105,60,25,17,7,8
5,9,25,28,142,328,672,1185,1668,1769,1341,794,407,197,91,48,16,6,4,4,0
1,5,8,21,55,147,310,620,1118,1552,1701,1427,881,490,246,109,50,25,6,3,3
2,11,9,16,40,79,189,479,859,1333,1710,1603,1102,671,345,158,70,28,18,8,1
1,6,9,18,53,134,317,623,1134,1627,1715,1299,821,451,224,127,57,20,13,6,1
1,3,3,7,10,26,50,105,230,499,982,1498,1770,1503,939,518,262,118,71,29,15
2,4,8,20,60,127,253,465,919,1405,1785,1491,1040,571,292,141,58,26,7,5,4
1,5,7,31,71,148,344,683,1237,1605,1707,1228,778,437,211,117,55,34,14,10,2
2,9,32,83,163,357,777,1241,1647,1648,1205,725,421,199,107,50,16,11,3,2,3
3,3,7,22,31,66,142,311,508,1006,1591,1733,1384,957,492,278,124,66,23,10,7
5,15,25,71,163,365,804,1371,1860,1640,1136,649,299,157,76,28,18,9,4,2,0
3,4,11,24,37,58,178,371,747,1205,1609,1638,1241,727,405,172,89,35,15,15,5
3,4,13,22,47,124,276,599,999,1503,1773,1449,891,521,229,120,67,28,15,5,2
3,10,24,71,152,373,727,1305,1812,1665,1202,678,354,181,75,34,21,12,3,2,0
2,2,3,11,25,79,158,353,707,1220,1626,1613,1210,745,378,212,98,64,31,13,4
1,2,10,23,53,138,279,565,1065,1618,1724,1357,889,504,222,103,62,20,12,4,1
5,11,38,109,207,483,893,1467,1821,1485,1018,580,310,142,75,33,22,7,7,1,1
1,2,3,10,36,62,152,329,696,1160,1711,1689,1338,788,424,190,81,51,30,15,8
1,0,0,0,7,19,38,78,213,486,915,1485,1635,1579,1053,579,321,149,73,40,18
2,6,8,17,53,111,306,615,1132,1645,1707,1374,806,440,221,103,46,24,10,8,1
2,10,22,46,139,345,755,1361,1713,1784,1255,669,323,174,81,31,12,2,1,0,0
3,6,8,14,37,48,108,321,601,1069,1549,1747,1406,826,449,246,101,56,28,12,9
2,2,7,11,34,109,229,529,1081,1618,1887,1466,891,449,239,103,53,25,8,11,3
2,4,4,11,46,115,224,478,844,1382,1718,1553,1054,629,287,172,100,46,15,13,6
1,2,3,4,1,1,5,7,14,40,93,204,493,881,1423,1670,1528,1028,623,326,163
1,5,10,19,31,85,194,413,863,1364,1726,1633,1182,613,329,138,74,34,16,6,0
1,4,20,44,75,167,351,707,1284,1666,1627,1199,709,364,187,99,58,34,23,9,3
3,4,19,58,86,194,416,759,1232,1717,1680,1162,669,362,164,82,41,16,12,4,0
1,2,0,5,17,36,55,111,221,457,954,1547,1683,1486,995,557,263,122,68,22,5
1,1,2,9,19,57,129,299,565,994,1614,1767,1341,871,476,231,122,53,29,18,9
1,2,4,4,6,5,14,39,79,183,399,768,1385,1755,1621,1103,630,335,161,61,27
2,4,13,48,113,294,531,1106,1651,1844,1425,878,442,207,115,50,26,11,4,6,0
2,4,11,26,64,104,239,499,891,1456,1758,1554,1037,542,274,124,49,17,9,4,4
2,3,7,13,31,77,188,481,900,1487,1712,1442,1040,561,309,176,80,33,15,12,3
1,2,13,41,65,129,293,642,1262,1759,1712,1259,745,363,185,78,33,15,14,8,2
2,10,15,63,115,233,536,1018,1482,1716,1429,915,551,244,121,55,34,14,11,3,5
2,1,6,18,47,116,228,526,1015,1603,1917,1452,924,443,276,119,52,22,7,5,0
2,2,7,32,65,123,276,548,1033,1523,1728,1447,842,530,251,118,62,22,11,7,1
1,2,12,25,62,194,369,725,1381,1713,1755,1105,625,327,160,109,46,25,4,3,2
2,12,30,59,130,266,511,978,1545,1699,1399,950,528,244,113,57,34,18,6,4,1
5,4,27,55,107,267,504,1023,1607,1737,1385,886,533,239,118,51,24,7,5,3,2
2,10,18,32,54,123,265,571,1051,1560,1677,1433,912,471,255,113,79,34,13,7,4
1,4,6,19,40,98,218,481,822,1309,1644,1512,1078,664,348,151,87,47,24,16,7
4,7,20,36,84,205,467,828,1363,1728,1582,1138,645,317,154,61,27,6,2,2,1
6,9,17,27,61,169,337,803,1282,1693,1635,1263,705,317,190,108,37,34,8,7,2
1,2,2,2,5,5,5,23,57,135,300,714,1269,1634,1692,1246,780,426,192,89,43
1,2,3,16,8,23,62,116,244,565,1065,1496,1604,1394,948,482,260,135,63,20,21
4,7,28,52,121,266,581,1055,1593,1721,1373,878,451,210,128,71,35,22,10,2,2
1,5,5,14,44,99,243,492,939,1412,1712,1511,1053,606,333,166,64,36,18,4,4
2,6,12,23,63,110,276,595,1183,1736,1709,1312,784,407,225,103,56,14,5,2,1
2,3,15,48,131,238,576,974,1471,1743,1465,907,542,263,159,55,36,18,11,10,2
2,1,8,13,42,96,169,373,719,1201,1564,1638,1244,780,384,233,121,60,21,16,15
3,8,29,72,148,311,642,1108,1659,1737,1311,797,395,194,108,49,36,11,9,7,3
1,6,15,15,31,88,210,381,811,1324,1704,1668,1174,707,311,159,97,33,21,12,3
3,10,18,42,109,267,589,1079,1627,1783,1409,833,502,258,99,48,22,13,7,3,0
3,4,28,56,164,349,709,1133,1581,1605,1316,806,445,211,122,57,37,18,8,4,2
2,5,3,28,40,107,241,541,927,1550,1725,1497,963,517,262,127,68,34,8,6,4
3,20,36,119,228,460,927,1481,1837,1504,1060,580,253,134,70,42,18,10,6,0,0
0,4,8,11,35,101,217,381,747,1296,1702,1610,1146,669,346,175,113,51,18,5,6
1,1,3,5,21,57,133,271,542,891,1474,1690,1476,983,518,296,153,85,39,12,7
3,2,12,26,45,169,392,685,1211,1535,1574,1284,778,390,238,122,66,29,14,8,8
1,7,9,30,72,161,364,786,1352,1698,1668,1185,675,346,195,85,31,7,6,3,1
2,1,0,5,9,24,73,120,295,658,1252,1733,1846,1306,800,383,171,72,38,12,10
2,3,11,31,66,125,299,696,1229,1707,1709,1314,730,386,186,80,46,14,22,8,0
2,4,9,11,37,79,174,352,735,1253,1652,1599,1196,723,366,205,96,48,24,14,5
1,3,4,22,25,54,126,305,697,1171,1645,1673,1279,780,405,234,93,57,26,7,7
2,2,11,33,78,191,423,794,1392,1732,1579,1126,675,333,162,69,33,20,3,2,0
3,4,11,34,79,155,351,667,1197,1630,1699,1278,757,403,204,110,40,24,11,5,0
1,3,13,17,54,129,297,602,1051,1637,1775,1434,842,469,205,113,57,27,9,8,6
7,2,13,19,41,70,168,425,867,1385,1766,1572,1152,601,288,146,68,37,13,10,6
2,8,21,40,126,225,506,978,1494,1753,1455,941,590,270,157,63,36,17,7,0,3
2,3,3,4,5,6,23,53,124,288,615,1122,1788,1906,1384,799,341,185,85,27,9
2,12,18,43,94,203,492,865,1433,1714,1487,1026,620,358,172,76,44,20,9,5,2
