"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
2,8,23,54,85,123,200,328,416,556,756,830,881,743,615,438,310,205,142,107,55
3,0,2,1,5,5,0,19,17,20,28,63,113,159,233,371,506,653,736,776,734
4,6,13,35,60,78,149,254,402,552,682,834,909,773,673,489,340,221,151,84,53
9,14,30,55,87,147,226,308,436,574,614,751,786,703,646,438,357,247,160,93,53
7,8,16,30,57,81,165,270,419,507,668,735,740,738,629,475,359,225,170,145,102
5,2,2,5,2,4,11,24,32,63,80,129,194,374,508,731,849,818,801,621,507
3,7,13,21,51,89,139,190,305,450,685,811,916,789,682,515,346,264,143,117,57
1,2,8,16,23,46,56,111,180,238,380,497,673,835,859,807,616,467,367,250,151
2,3,4,4,3,11,12,25,41,77,113,186,295,435,612,773,839,841,717,569,440
4,6,14,28,53,75,160,229,386,659,822,882,810,677,532,430,295,213,137,82,61
5,14,15,17,22,49,92,132,220,322,440,579,649,801,768,689,588,394,309,187,134
7,7,11,16,24,59,115,166,234,434,580,758,938,879,714,611,440,334,194,138,93
7,15,15,22,32,55,61,75,137,225,317,432,583,683,895,780,650,539,387,240,165
4,8,12,31,34,54,69,117,217,329,433,596,725,799,775,688,554,410,315,231,133
4,12,27,38,52,96,169,250,465,651,810,920,861,760,571,369,260,177,129,68,40
2,1,4,8,8,16,17,27,56,88,144,250,422,585,789,940,805,790,637,456,336
4,4,12,14,15,28,23,40,60,106,149,252,391,505,684,781,817,718,625,522,359
3,4,10,9,12,39,61,84,100,165,218,255,428,551,632,771,700,646,570,445,338
9,3,9,18,20,17,15,10,23,39,53,79,115,181,267,370,544,646,859,832,787
4,7,10,19,26,53,86,133,205,352,494,754,786,794,710,602,445,330,236,151,101
5,10,21,28,53,104,110,179,242,375,520,585,724,790,670,617,477,394,304,243,126
1,4,11,9,11,25,52,71,130,157,230,323,575,658,858,992,771,671,487,330,194
2,4,11,15,19,39,44,100,154,239,359,497,664,792,901,771,638,426,327,258,179
2,8,17,27,34,53,97,153,249,446,709,866,892,893,731,601,425,297,191,135,61
2,4,2,10,10,9,13,33,38,55,76,134,184,296,339,492,601,691,794,709,657
5,5,20,17,25,20,34,61,81,121,150,221,340,365,538,577,656,695,583,535,449
4,15,20,26,26,33,52,78,97,125,175,278,408,555,731,879,818,696,539,359,294
5,6,13,20,32,57,96,185,249,365,572,628,788,772,713,584,456,366,281,225,114
4,12,7,9,11,5,22,33,44,48,64,83,187,219,341,531,655,724,768,661,587
4,11,19,28,53,64,110,151,263,344,437,548,628,691,778,671,591,449,319,242,169
2,1,1,3,13,24,32,62,74,115,212,317,475,640,797,901,801,621,546,366,277
1,7,14,25,48,64,100,178,228,393,603,721,874,876,749,585,447,302,231,170,92
3,7,4,8,32,47,68,113,156,212,395,538,724,772,808,774,633,508,347,238,154
2,1,2,7,5,6,6,10,11,19,38,38,77,127,198,336,468,543,702,786,767
3,10,19,38,72,150,247,384,572,701,810,898,839,659,488,350,247,133,91,74,56
1,4,9,15,12,30,40,90,130,245,349,544,760,835,938,837,567,464,289,195,113
5,4,12,17,18,31,46,112,183,352,490,569,734,767,829,691,582,398,264,194,130
2,1,1,7,5,29,19,19,43,93,138,251,392,675,879,823,922,768,641,421,300
5,1,2,4,8,23,28,51,58,100,167,335,521,651,793,868,867,721,561,370,237
5,11,11,17,20,39,62,83,169,298,418,588,815,911,863,712,560,430,254,176,117
3,7,2,12,22,41,91,126,261,396,521,733,853,906,848,620,463,361,215,119,91
1,2,4,5,8,15,17,26,52,89,140,231,347,488,645,801,803,758,688,478,361
1,6,15,35,47,109,197,237,458,585,759,889,888,758,603,437,311,190,147,95,50
6,4,7,16,32,73,154,240,349,435,520,700,769,883,728,584,415,314,228,108,88
9,9,22,31,39,69,119,210,262,406,509,735,833,875,707,589,463,327,230,120,87
3,1,4,2,13,21,59,112,153,250,383,572,796,1002,948,843,692,455,293,195,122
6,13,33,55,79,125,243,426,558,813,907,870,756,601,443,297,200,123,59,31,29
1,0,1,2,7,13,11,24,34,61,125,167,281,428,666,789,855,880,715,555,349
2,2,8,7,6,15,20,20,17,18,33,58,70,133,249,366,432,566,673,752,801
3,13,26,39,65,119,180,305,418,550,723,832,803,683,631,427,324,220,155,100,68
2,4,1,2,5,10,15,19,24,27,47,78,173,282,420,596,741,904,856,754,627
5,12,19,57,91,129,263,396,538,749,895,922,844,656,490,310,208,121,62,55,27
1,6,6,9,24,67,114,207,320,459,604,755,913,920,741,608,414,298,140,92,60
3,9,27,44,78,152,280,419,620,858,926,894,755,616,422,278,213,142,92,53,34
4,2,5,10,15,30,45,76,146,274,491,605,863,963,899,782,598,428,295,178,109
6,9,35,63,107,147,218,312,431,545,668,748,725,667,517,375,282,186,126,85,63
4,4,12,10,20,37,58,131,202,374,550,719,859,901,843,697,526,373,251,156,87
3,4,2,13,16,22,58,92,189,327,494,641,783,854,871,803,601,416,272,210,112
4,11,25,38,59,77,138,209,346,512,684,903,934,803,696,547,344,223,160,108,55
2,2,1,2,4,7,16,44,119,178,276,368,536,674,776,884,831,667,482,309,229
4,17,18,39,41,71,110,196,318,466,629,734,847,845,720,539,355,249,177,112,86
6,7,9,11,35,53,101,145,243,331,479,751,795,909,780,701,511,411,236,148,105
4,10,16,18,23,25,51,96,186,238,368,450,655,839,834,779,636,505,343,214,166
6,5,6,10,17,20,49,90,120,189,309,398,600,790,874,769,665,533,374,259,168
2,6,11,34,68,146,197,265,409,570,752,921,878,771,579,391,265,215,131,90,55
6,3,2,5,4,3,14,5,14,21,40,76,148,222,376,501,756,890,977,836,649
2,5,7,9,5,12,30,53,66,79,106,184,304,442,608,710,786,818,680,515,366
2,4,9,21,43,82,130,196,258,392,591,716,835,816,752,578,454,327,251,160,97
3,1,3,11,35,55,107,220,310,414,513,651,796,769,810,623,517,313,216,128,73
2,3,9,14,26,53,77,97,137,190,321,359,536,711,845,844,685,573,430,321,192
2,0,3,7,12,18,25,38,64,112,204,302,448,610,816,856,847,706,520,376,231
6,11,26,42,87,152,228,425,592,709,761,872,777,626,449,290,246,144,97,72,49
2,2,2,12,24,27,66,97,147,173,313,416,547,645,735,670,589,511,415,275,196
5,5,4,10,8,5,16,13,31,52,68,104,150,205,284,424,547,675,761,719,736
6,1,5,13,17,31,64,118,196,300,442,649,705,811,789,729,593,392,264,184,113
4,1,7,16,28,45,62,113,132,244,309,470,584,663,766,772,673,561,361,278,174
4,22,38,54,85,185,321,519,683,813,909,836,692,508,341,266,191,132,99,60,32
2,3,5,4,9,15,31,38,48,100,131,206,306,425,614,782,864,765,680,532,387
2,5,4,34,22,53,73,115,194,355,491,760,948,889,820,636,492,336,223,140,77
6,24,34,47,59,116,177,278,506,654,750,933,802,709,556,415,310,212,117,66,47
2,6,12,18,16,20,15,23,33,55,63,88,149,166,228,304,408,493,644,714,684
2,4,6,13,24,38,49,107,144,202,306,433,557,684,819,842,716,603,368,281,169
6,7,19,27,38,34,53,87,147,205,302,458,574,686,819,786,698,579,430,296,184
3,4,8,11,17,26,60,95,152,254,351,555,686,774,812,770,684,486,357,243,169
1,3,3,8,19,17,29,41,88,181,279,441,651,790,927,933,822,633,407,266,179
4,3,14,18,42,83,157,253,323,470,599,718,853,794,769,570,350,237,167,115,72
7,12,23,45,96,157,261,445,645,743,814,885,727,584,500,353,219,127,76,34,14
3,12,18,27,48,77,114,198,247,389,460,582,707,799,737,643,527,339,224,169,107
2,5,7,11,14,22,36,54,106,171,254,337,515,746,930,986,801,683,513,291,202
4,12,27,30,56,92,195,241,326,483,722,808,903,889,687,516,363,218,128,76,44
13,24,29,50,109,165,255,416,527,717,848,807,794,618,461,289,212,138,92,50,23
7,5,6,6,9,23,16,15,22,49,83,133,188,258,400,563,685,766,810,706,565
1,1,4,11,12,19,40,50,93,162,230,320,399,524,614,676,732,723,560,420,306
2,1,9,17,34,60,90,201,255,381,521,630,719,859,702,616,455,317,212,165,108
5,9,10,34,54,110,153,220,347,526,732,881,857,767,551,424,332,231,154,115,48
3,1,4,5,7,17,33,67,120,195,357,500,639,840,894,830,669,528,391,261,153
4,1,2,10,12,21,34,50,88,134,225,274,374,533,710,760,780,735,557,387,267
3,3,4,13,12,31,59,98,166,214,308,522,674,783,861,823,696,508,359,248,147
1,3,8,12,18,26,18,27,44,79,122,215,344,500,603,773,841,849,769,594,416
1,2,1,1,3,7,15,36,71,127,206,275,442,570,719,852,805,697,550,433,337
3,4,6,10,5,3,13,18,35,84,190,235,323,537,713,799,873,802,654,465,314
3,4,10,13,27,34,55,96,208,292,517,692,776,842,792,664,490,390,257,197,124
1,7,6,7,5,9,22,31,72,126,155,268,405,588,701,820,885,773,609,441,296
2,2,5,2,0,1,3,1,4,2,2,5,12,16,31,40,82,115,197,259,403
3,4,4,8,13,21,36,50,67,98,160,299,429,609,840,904,893,735,597,459,325
2,2,2,4,6,10,8,11,8,14,39,69,91,175,279,359,490,630,787,791,814
3,6,8,24,24,45,100,133,225,357,444,674,796,808,782,701,552,400,285,167,110
4,11,21,35,49,96,132,249,333,545,626,756,860,761,622,475,367,264,203,136,99
3,12,9,6,9,8,21,29,49,82,144,245,355,488,660,849,896,813,671,495,306
2,5,8,13,28,41,44,74,118,175,278,410,537,750,805,860,728,622,435,314,210
4,3,18,30,49,85,125,181,243,316,468,584,701,806,697,608,481,373,311,207,142
5,3,3,7,11,12,15,24,42,64,95,161,230,347,526,731,834,864,688,667,471
2,4,6,10,22,21,47,56,81,122,182,237,363,459,645,719,785,751,668,516,319
2,1,7,1,8,18,23,41,52,88,104,174,295,431,545,648,768,795,682,557,402
3,5,11,27,30,64,111,213,330,469,580,699,833,883,782,626,422,301,205,144,90
2,3,2,2,4,10,8,15,9,26,37,71,137,218,319,496,721,839,809,850,635
3,9,8,14,18,47,78,138,195,272,371,552,683,861,907,709,574,466,316,225,143
4,4,10,8,22,34,75,120,182,263,375,570,665,888,879,748,571,422,261,168,107
2,3,6,8,9,25,47,80,131,231,326,501,659,814,885,809,693,541,358,277,176
4,8,9,24,27,43,73,99,149,301,433,613,754,887,819,719,612,416,280,201,114
4,10,7,17,29,66,121,189,298,438,638,836,908,843,656,503,410,268,169,120,55
3,4,14,26,58,97,166,253,402,547,635,813,813,842,656,507,356,237,154,93,59
1,4,6,34,48,92,132,194,305,459,608,810,822,790,719,546,407,302,211,121,100
6,7,25,44,67,108,200,317,455,623,824,870,838,707,551,416,288,178,111,59,40
2,9,5,10,20,40,59,117,175,231,360,463,627,776,892,834,684,493,332,253,162
4,12,15,17,29,45,60,94,190,276,426,598,928,863,853,697,549,401,263,197,113
9,5,27,38,57,90,154,214,332,468,714,837,920,864,689,455,347,209,121,76,54
3,9,4,9,26,45,58,105,159,227,310,444,588,751,864,824,650,518,401,256,157
6,6,5,7,16,21,26,62,123,187,310,462,629,779,866,806,668,575,424,291,182
4,8,17,33,24,81,153,215,315,475,677,814,953,869,744,534,330,235,162,117,69
2,4,11,8,14,14,25,37,32,64,91,144,232,280,359,469,605,689,704,789,597
2,12,14,26,28,51,64,122,213,381,558,744,923,836,867,619,531,339,232,124,77
2,1,10,16,23,57,77,115,240,364,543,680,861,854,787,645,492,297,262,174,92
5,3,2,6,12,11,18,18,43,66,122,203,286,463,658,838,834,717,683,559,401
1,2,8,15,10,22,41,61,107,177,229,346,513,613,711,808,828,691,528,361,240
3,2,8,7,11,20,27,42,74,124,232,391,566,633,902,823,716,615,461,346,210
3,3,5,7,13,20,45,70,116,233,331,493,619,715,799,717,595,499,386,224,179
3,6,26,33,64,107,153,215,307,522,688,757,943,866,686,476,342,225,123,98,50
4,15,39,62,126,221,279,425,512,717,819,920,782,621,506,339,225,128,89,46,25
3,3,3,22,32,61,84,125,190,285,396,580,723,846,796,783,646,455,308,242,107
13,12,11,39,66,124,187,303,414,596,658,772,843,730,582,410,268,181,125,95,73
6,11,13,9,10,18,25,46,67,106,167,268,397,517,629,709,763,642,521,404,325
1,3,7,15,27,43,79,123,169,239,430,482,564,694,761,681,609,520,372,283,211
2,1,3,5,13,23,23,29,42,46,83,143,231,338,555,725,842,814,828,654,493
5,6,26,20,39,58,71,117,183,357,528,692,818,862,914,714,527,388,236,137,101
5,4,9,9,19,24,54,63,128,211,324,446,617,798,849,820,688,559,359,273,196
3,17,25,37,50,114,154,236,321,456,669,740,819,772,652,442,337,270,187,149,92
5,5,3,1,3,10,29,51,107,176,266,440,609,754,815,831,797,564,425,285,214
1,2,3,4,9,11,23,55,71,152,268,412,665,837,913,908,785,572,395,237,142
3,8,15,16,34,67,140,193,275,417,577,756,819,873,688,558,401,331,204,142,93
